path,sentence
sentence_audio/Sentence_for_entry_1365.wav,hnv́nhdagi wǎ:ji sí amǎ:yi winijadé:tinv̋:na
sentence_audio/Sentence_for_entry_1078.wav,gù:gu de:gv́:wayo:dé:sdi gi:hli
sentence_audio/Sentence_for_entry_0921.wav,ju:ni:lv̂:wsdà:ne̋:hi u:nadi̋:tasdi ama ú:ne:hwi:dv:hv̌:’i
sentence_audio/Sentence_for_entry_1862.wav,yv́:da:ha̋ hla à:gwadu:lǐsgv̋: yinigálsdi:sgô
sentence_audio/Sentence_for_entry_1306.wav,gado ű:sdi kanv́:su:lv̋ à:yá’a u:dlv̋:gi
sentence_audio/Sentence_for_entry_1669.wav,go:hi̋:da ù:dlv́:jv̋ iyű:sdi u:le:ső:da nù:lstanv̌:’i
sentence_audio/Sentence_for_entry_0344.wav,sgwalsgo:lhdà:sî agiwò:nǐ:sdi̋:’i
sentence_audio/Sentence_for_entry_0197.wav,ani:yv:wiya̋: u:ni:lv̌:kwdi u:nà:hně:sdi̋
sentence_audio/Sentence_for_entry_1270.wav,kama:ma ane̋:hyahtahi du:ni:hyoha
sentence_audio/Sentence_for_entry_0345.wav,halsgû:hya de:hádani:lv́:ge̋:sdi
sentence_audio/Sentence_for_entry_1475.wav,suná:le̋: tá’li yúwa:hnilv̋ jigè:se̋:sdi dà:sv:sdi di:dlo:hisdi’i
sentence_audio/Sentence_for_entry_0259.wav,ajǐ:l gő:hlvhdí gv̋hdi ù:jí:slanv́ gő:ksdi
sentence_audio/Sentence_for_entry_0814.wav,gá:du u:gana̋:sda uwà:tdi̋ àdv:nv́’isdi:ha
sentence_audio/Sentence_for_entry_1265.wav,kalò:wě:kdi jő:sda digé:tvsdi dà:do:hlv:sgó:’i
sentence_audio/Sentence_for_entry_1175.wav,hilá: ijú:de:tiyv̋:da ù:hne:lá’dé’i
sentence_audio/Sentence_for_entry_1315.wav,sǐ:s hvhdlǐ:ha galùysdi
